88000, 88071, 0.704568, 4.847217, 206.303964, 1162.841370
89000, 89071, 0.712568, 6.361008, 157.207796, 896.169959
90000, 90071, 0.720568, 6.544805, 152.792950, 880.781685
91000, 91071, 0.728568, 6.292510, 158.919095, 926.266938
92000, 92074, 0.736592, 6.438899, 155.306054, 915.177574
93000, 93074, 0.744592, 6.640983, 150.580126, 896.966057
94000, 94074, 0.752592, 6.639409, 150.615814, 906.818053
95000, 95074, 0.760592, 6.418610, 155.796981, 947.983498
96000, 96077, 0.768616, 6.728888, 148.612975, 913.810485
97000, 97077, 0.776616, 6.805301, 146.944278, 912.954219
98000, 98077, 0.784616, 6.887603, 145.188395, 911.337105
99000, 99077, 0.792616, 5.932903, 168.551542, 1068.773194
100000, 100080, 0.800640, 5.231404, 191.153262, 1224.359584
101000, 101080, 0.808640, 7.203388, 138.823561, 898.066272
102000, 102080, 0.816640, 5.278993, 189.430080, 1237.569444
103000, 103080, 0.824640, 5.571198, 179.494593, 1184.147369
104000, 104083, 0.832664, 5.559301, 179.878717, 1198.228257
105000, 105083, 0.840664, 5.660176, 176.672943, 1188.180663
106000, 106083, 0.848664, 5.571103, 179.497666, 1218.665654
107000, 107083, 0.856664, 5.601692, 178.517484, 1223.436018
108000, 108086, 0.864688, 5.757713, 173.680061, 1201.432516
109000, 109086, 0.872688, 5.821896, 171.765361, 1199.180556
110000, 110086, 0.880688, 5.846906, 171.030636, 1204.997028
111000, 111086, 0.888688, 5.959082, 167.811092, 1193.053631
112000, 112089, 0.896712, 6.806111, 146.926777, 1054.008030
113000, 113089, 0.904712, 8.239794, 121.362261, 878.383148
114000, 114089, 0.912712, 6.236815, 160.338238, 1170.741071
115000, 115089, 0.920712, 6.315398, 158.343143, 1166.307452
116000, 116092, 0.928736, 6.392717, 156.428001, 1162.242530
117000, 117092, 0.936736, 6.459594, 154.808497, 1160.117534
118000, 118092, 0.944736, 6.725407, 148.689894, 1123.781564
119000, 119092, 0.952736, 6.382108, 156.688048, 1194.258749
120000, 120095, 0.960760, 6.391001, 156.470018, 1202.641074
121000, 121095, 0.968760, 6.489015, 154.106603, 1194.338501
122000, 122095, 0.976760, 6.479907, 154.323202, 1205.893843
123000, 123095, 0.984760, 6.783605, 147.414252, 1161.341269
124000, 124098, 0.992784, 8.925509, 112.038423, 889.839627
125000, 125098, 1.000784, 7.036209, 142.121984, 1137.867263
126000, 126098, 1.008784, 6.670213, 149.920256, 1209.897241
127000, 127098, 1.016784, 8.313608, 120.284716, 978.428600
128000, 128101, 1.024808, 6.973886, 143.392067, 1175.594701
129000, 129101, 1.032808, 6.988692, 143.088286, 1182.261812
